,condition,stimulus,feature,value,midi,frequency
0,flute,stim_100_flute,centroid,2656.5570409532233,100,2637.020455302959
1,flute,stim_101_flute,centroid,2813.659765497301,101,2793.8258514640315
2,flute,stim_102_flute,centroid,2981.022592404103,102,2959.955381693075
3,flute,stim_103_flute,centroid,3155.446364856879,103,3135.9634878539937
4,flute,stim_104_flute,centroid,3342.5017277825386,104,3322.4375806395615
5,flute,stim_105_flute,centroid,3546.081104031587,105,3520.0
6,flute,stim_106_flute,centroid,3756.3381032403668,106,3729.3100921447212
7,flute,stim_107_flute,centroid,3978.0140669650873,107,3951.0664100489917
8,flute,stim_108_flute,centroid,4216.1096440280835,108,4186.009044809578
9,flute,stim_55_flute,centroid,389.7128599335522,55,195.99771799087466
10,flute,stim_56_flute,centroid,509.1073394458706,56,207.65234878997256
11,flute,stim_57_flute,centroid,527.4108371100904,57,220.0
12,flute,stim_58_flute,centroid,574.9372184081371,58,233.0818807590449
13,flute,stim_59_flute,centroid,582.4284781414146,59,246.94165062806212
14,flute,stim_60_flute,centroid,587.6282743271504,60,261.6255653005986
15,flute,stim_61_flute,centroid,675.2773350248849,61,277.1826309768721
16,flute,stim_62_flute,centroid,721.8920311727627,62,293.66476791740763
17,flute,stim_63_flute,centroid,864.9467851678644,63,311.1269837220809
18,flute,stim_64_flute,centroid,855.6211442817618,64,329.62755691286986
19,flute,stim_65_flute,centroid,914.1192752198197,65,349.22823143300394
20,flute,stim_66_flute,centroid,878.5968229291617,66,369.9944227116344
21,flute,stim_67_flute,centroid,983.3188852182229,67,391.9954359817492
22,flute,stim_68_flute,centroid,1064.2400758817626,68,415.3046975799452
23,flute,stim_69_flute,centroid,807.4819491537069,69,440.0
24,flute,stim_70_flute,centroid,828.967601587176,70,466.1637615180898
25,flute,stim_71_flute,centroid,796.019345103478,71,493.88330125612424
26,flute,stim_72_flute,centroid,690.5688951977177,72,523.2511306011972
27,flute,stim_73_flute,centroid,712.8796561249274,73,554.3652619537442
28,flute,stim_74_flute,centroid,759.5383905658618,74,587.3295358348153
