onset_sec,note,velocity,offset,duration,freq,interval,key
160.0,72.0,80.0,160.47291666666666,0.4729166666666629,523.2511306011972,0,c1
160.5,72.0,80.0,160.97291666666666,0.4729166666666629,523.2511306011972,-1.0,c1
161.0,71.0,80.0,161.47291666666666,0.4729166666666629,493.88330125612424,-1.0594630943592949,c1
161.5,71.0,80.0,161.97291666666666,0.4729166666666629,493.88330125612424,-1.0,c1
162.0,72.0,80.0,162.47291666666666,0.4729166666666629,523.2511306011972,1.0594630943592949,c1
162.5,69.0,80.0,162.97291666666666,0.4729166666666629,440.0,-1.189207115002721,c1
163.0,67.0,80.0,163.94791666666666,0.9479166666666572,391.9954359817492,-1.1224620483093732,c1
164.0,65.0,80.0,164.47291666666666,0.4729166666666629,349.22823143300394,-1.1224620483093726,c1
164.5,65.0,80.0,164.97291666666666,0.4729166666666629,349.22823143300394,-1.0,c1
165.0,64.0,80.0,165.47291666666666,0.4729166666666629,329.62755691286986,-1.0594630943592958,c1
165.5,64.0,80.0,165.97291666666666,0.4729166666666629,329.62755691286986,-1.0,c1
166.0,65.0,80.0,166.47291666666666,0.4729166666666629,349.22823143300394,1.0594630943592958,c1
166.5,64.0,80.0,166.97291666666666,0.4729166666666629,329.62755691286986,-1.0594630943592958,c1
167.0,72.0,80.0,167.94791666666666,0.9479166666666572,523.2511306011972,1.5874010519681998,c1
